x,y,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
384.000,192.000,-0.049,-0.170,0.738,1.029,0.175,0.397,0.628,0.007,-0.189,-0.493
191.000,347.000,-0.154,0.005,-0.108,0.593,-0.212,0.027,-0.146,0.228,-0.597,-0.272
115.000,153.000,0.053,-0.152,-0.061,0.616,-0.462,0.443,0.387,0.289,1.168,0.240
184.000,381.000,0.422,-0.660,0.289,-0.472,-0.981,-0.083,0.687,-0.173,0.197,0.045
413.000,199.000,0.516,-0.381,0.701,-0.792,0.066,-0.271,-0.171,0.408,-0.164,1.057
205.000,98.000,0.602,0.274,-0.322,1.029,0.400,0.841,-0.013,-0.485,-1.300,0.410
401.000,420.000,0.591,-0.102,0.672,-0.271,-0.794,-0.232,-0.584,0.100,-0.196,-0.002
22.000,171.000,0.358,0.323,0.543,0.519,0.453,0.122,0.563,-0.200,-0.681,0.098
260.000,79.000,0.262,0.665,-0.070,0.401,0.439,0.132,-0.034,-0.065,-0.154,0.363
214.000,389.000,0.083,0.160,-0.257,0.264,0.603,-0.653,0.312,0.475,-0.201,0.748
121.000,453.000,-0.473,0.627,-0.490,0.125,0.489,0.793,-0.691,-0.065,0.763,-0.022
277.000,399.000,-0.780,-0.725,0.397,0.185,0.604,0.933,0.546,0.027,0.486,-0.328
357.000,329.000,0.167,-0.610,0.484,-0.224,0.152,-0.003,-0.864,0.266,-0.462,0.267
386.000,155.000,-0.008,-0.212,-0.493,-0.734,-0.289,-0.003,0.634,-0.551,-0.051,-0.076
297.000,438.000,-0.338,-0.581,-0.062,-0.633,-0.922,-0.298,-0.776,0.141,0.339,-0.701
285.000,50.000,-0.121,0.285,-0.870,0.739,0.436,0.201,-0.722,-0.260,-0.380,-0.271
342.000,435.000,-0.394,0.587,-0.039,-0.437,0.001,0.188,0.230,0.090,0.911,0.011
375.000,36.000,-0.013,-0.517,0.886,-0.742,0.122,0.931,-0.813,-0.331,-0.281,-0.177
216.000,197.000,-0.270,-0.498,0.391,0.983,0.569,0.154,-0.007,-0.073,-0.967,-0.757
171.000,226.000,-0.391,0.059,0.495,-0.133,0.194,-0.510,0.386,0.449,0.045,-0.174
481.000,142.000,-0.226,-0.133,-0.084,-0.186,-0.502,-0.050,0.219,-0.073,0.363,-0.457
496.000,227.000,0.067,-0.185,-0.164,0.490,0.244,0.529,-0.050,-0.359,-0.315,-0.152
410.000,87.000,0.059,0.504,-0.007,-0.019,0.694,0.113,0.723,-0.074,-0.031,0.574
205.000,244.000,-0.392,0.402,-0.088,-1.016,-1.028,0.074,-0.699,-0.384,0.572,-1.067
175.000,26.000,0.015,-1.233,-0.431,0.557,-0.133,-0.380,-0.075,0.481,-0.053,0.284
316.000,152.000,0.527,0.246,0.809,0.243,0.121,0.520,-0.614,-0.292,-0.691,-0.066
447.000,366.000,0.498,0.711,0.721,-0.819,-1.107,-0.752,-0.628,0.412,0.410,0.099
289.000,221.000,-0.599,-0.215,-0.760,0.813,0.117,0.341,0.043,0.423,0.163,-0.007
365.000,93.000,0.058,0.808,0.752,-0.055,-0.075,-0.336,-0.823,0.546,0.192,-0.003
328.000,26.000,-0.725,-0.438,0.484,-0.851,-0.078,0.506,-0.006,0.005,0.633,-0.506
283.000,444.000,-0.081,0.899,-0.382,0.359,-0.289,0.654,-0.067,-0.204,1.043,-0.181
237.000,99.000,0.782,1.005,0.284,0.667,0.771,-0.078,0.839,-0.336,-0.987,0.640
280.000,94.000,-0.103,0.832,-0.394,-0.463,-0.439,-0.006,0.437,-0.416,0.502,-0.335
339.000,30.000,0.426,-0.203,0.273,0.483,-0.775,0.450,0.735,-0.009,0.814,0.169
141.000,63.000,1.027,0.867,-0.058,-0.363,-0.440,0.097,0.996,-0.596,0.067,0.827
261.000,153.000,0.526,1.123,-0.284,-0.135,0.490,-0.235,0.492,-0.551,-0.782,0.430
157.000,479.000,0.202,0.774,-0.891,0.843,0.882,-0.529,0.837,-0.023,-0.491,0.633
343.000,211.000,0.008,-0.609,-0.469,-0.071,-0.115,-0.144,-0.262,0.093,-1.014,0.202
256.000,450.000,-0.105,0.758,-0.279,0.307,0.470,1.068,-0.636,-0.067,0.899,0.384
396.000,200.000,-0.879,-0.184,0.638,-0.228,0.062,-0.337,0.768,0.297,0.209,-0.880
263.000,1.000,0.510,0.385,-0.008,0.944,-0.504,-0.359,0.912,-0.521,-0.784,-0.686
295.000,319.000,-0.431,-0.308,0.976,-0.678,0.486,0.550,0.030,-0.225,-0.376,-0.447
230.000,150.000,-0.121,0.078,0.472,-0.362,0.737,0.201,0.712,-0.046,-0.185,0.380
193.000,200.000,-0.115,-0.065,-0.764,0.092,-0.503,-1.027,0.050,0.179,-0.127,-0.338
188.000,74.000,0.080,0.613,-0.956,0.571,0.805,-0.468,-0.401,0.002,-0.683,0.364
69.000,97.000,0.550,0.585,-0.442,0.051,-0.388,-0.447,-0.811,0.256,0.192,0.578
34.000,275.000,0.324,0.806,-0.273,-0.176,0.128,0.325,-0.274,-0.637,-0.384,-0.009
114.000,452.000,-0.656,-0.754,0.343,0.827,-0.280,-0.479,-0.593,1.020,0.485,-0.658
49.000,372.000,0.294,-0.705,-0.588,0.635,0.400,0.304,-0.774,0.329,0.043,0.914
110.000,364.000,0.336,-0.723,0.845,0.885,0.252,0.529,0.274,0.306,-0.084,0.398
400.000,260.000,-0.086,-0.069,-0.186,0.443,0.225,-0.310,-0.108,0.175,-0.310,-0.087
424.000,369.000,0.505,-0.361,-0.936,0.485,-0.209,-0.250,-0.502,-0.079,-0.374,0.403
168.000,495.000,0.499,-0.441,0.344,0.489,-0.277,0.259,0.889,-0.508,-0.618,-0.216
93.000,447.000,0.334,0.196,-0.285,-0.065,-0.358,0.159,-0.715,-0.549,-0.519,-0.373
312.000,349.000,0.034,0.253,-0.390,-0.359,-1.101,0.771,-0.025,-0.150,0.771,0.057
486.000,277.000,0.081,0.184,-0.101,0.360,0.001,-0.893,0.262,0.181,-0.618,-0.186
506.000,271.000,-0.204,-0.030,0.518,0.283,0.147,-0.525,0.122,-0.015,-0.963,-0.829
249.000,465.000,-0.151,-0.517,-0.027,-0.788,-0.647,0.425,0.413,-0.339,0.620,-0.213
78.000,273.000,0.166,-0.364,1.138,-0.661,-0.253,-0.741,0.411,0.153,-0.817,-0.236
247.000,505.000,0.331,-0.295,0.621,-0.495,-0.303,-0.191,0.543,-0.374,-0.750,-0.227
57.000,97.000,0.424,0.069,0.540,-0.826,0.711,0.972,0.272,-0.858,-0.764,0.510
360.000,399.000,0.130,0.408,0.336,-0.300,-0.157,0.137,-0.557,0.112,0.293,0.136
477.000,213.000,-0.073,0.181,-0.040,-0.466,-0.349,0.405,-0.376,-0.688,-0.259,-0.764
114.000,285.000,-0.253,-0.961,-0.997,-0.610,-0.077,0.821,-0.683,-0.180,0.800,0.464
332.000,413.000,0.242,0.853,-0.043,-0.637,-0.046,0.401,-0.729,0.017,0.737,0.659
84.000,258.000,0.121,-0.623,-0.739,0.172,-0.344,0.364,-0.896,-0.420,-0.282,-0.302
412.000,221.000,-0.716,-0.439,0.762,0.920,0.819,-0.050,0.369,0.724,-0.031,-0.354
177.000,178.000,0.117,-0.432,0.246,-0.738,-0.724,0.157,0.038,-0.529,-0.235,-0.547
89.000,412.000,-0.507,-0.364,-0.372,0.670,-0.010,0.213,-0.805,0.096,0.078,-0.759
265.000,31.000,-0.258,-0.082,0.676,-0.395,0.746,0.399,-0.113,0.246,0.068,0.385
101.000,410.000,0.988,0.516,0.558,0.425,-0.260,0.605,-0.271,-0.588,-0.605,0.115
384.000,343.000,-0.277,0.714,0.701,-0.814,0.694,-0.184,-0.608,0.288,-0.204,0.176
446.000,88.000,-0.171,-0.550,-0.760,-0.179,0.366,0.994,0.881,-1.093,-0.293,-0.211
345.000,141.000,-0.127,0.183,-0.606,-1.148,-0.054,-0.804,0.007,-0.268,-0.506,-0.041
263.000,490.000,0.614,-0.100,0.374,0.335,-0.767,-0.202,0.614,0.623,1.013,0.860
330.000,439.000,0.336,0.258,-0.549,0.184,-0.441,0.018,-0.227,0.554,0.344,1.024
329.000,148.000,0.571,0.290,-0.367,-0.401,-0.807,0.516,0.508,-0.427,0.922,0.540
113.000,435.000,-0.198,0.909,0.693,-0.710,0.440,0.574,0.095,-0.326,0.130,-0.117
106.000,89.000,0.214,0.900,-0.921,0.861,0.299,0.481,0.364,-0.294,0.500,0.411
303.000,487.000,-0.041,0.170,-0.838,0.679,-0.366,-0.903,0.550,-0.129,-0.447,-0.627
284.000,503.000,0.093,-0.058,0.518,0.515,-0.755,-0.595,-0.227,0.431,0.002,-0.593
187.000,125.000,-0.432,0.900,0.377,0.830,0.088,-0.360,-0.940,0.608,0.185,-0.755
88.000,148.000,0.162,0.065,0.810,-0.100,-0.427,-0.306,-0.885,0.341,-0.210,-0.317
98.000,152.000,-0.431,0.317,0.530,-0.291,-0.139,-0.175,0.846,-0.166,0.002,-0.810
217.000,221.000,-0.880,-0.651,0.106,-0.601,0.965,0.032,-0.153,-0.162,-0.859,-0.596
329.000,83.000,-0.151,-0.448,0.615,-0.691,-0.137,0.540,-0.738,-0.536,-0.642,-0.804
495.000,194.000,-0.022,0.266,0.626,-0.998,-0.986,-0.467,0.322,-0.213,0.059,-0.753
7.000,257.000,0.152,0.174,0.329,-0.606,-0.055,-0.659,1.000,-0.331,-0.799,-0.190
175.000,318.000,-0.026,0.475,-0.472,0.286,0.914,0.396,-0.043,-0.208,-0.194,0.445
246.000,273.000,0.131,-0.591,0.593,0.902,-0.124,0.513,0.253,-0.851,-0.669,-0.145
301.000,93.000,-0.118,-0.747,0.636,-0.451,0.030,-0.480,-0.434,0.371,-0.575,-0.106
262.000,358.000,-0.541,-0.991,-0.233,-0.504,-0.575,-0.381,0.619,-0.163,-0.044,-0.834
471.000,276.000,-0.200,-0.517,-0.134,-0.236,0.737,0.446,0.367,0.001,0.086,0.619
187.000,289.000,-0.823,0.325,-0.838,0.909,1.000,0.044,0.741,0.225,0.437,-0.077
317.000,139.000,0.258,-0.178,-0.732,-0.510,-0.423,-0.408,0.839,-0.439,-0.155,0.190
342.000,48.000,0.496,-0.042,-0.459,0.715,-0.503,0.075,-0.141,-0.521,-0.552,-0.414
74.000,289.000,-0.040,0.318,-0.718,0.714,0.958,0.479,0.765,-0.567,-0.476,0.149
232.000,417.000,-0.470,-0.177,-0.666,-0.185,0.088,-0.405,0.235,0.661,1.035,0.564
218.000,212.000,0.538,0.380,0.420,-0.394,-0.091,0.345,0.206,-0.289,-0.008,0.475
212.000,443.000,0.663,0.881,0.282,-0.642,-0.843,-0.477,0.908,-0.026,0.585,0.548
176.000,385.000,0.349,-0.094,0.879,0.542,0.368,0.330,0.629,0.198,-0.097,0.477
359.000,92.000,-0.033,0.439,-0.016,-0.313,0.358,-0.698,0.929,0.148,-0.174,0.375
270.000,199.000,-0.342,0.466,-0.839,-0.050,-0.801,-0.101,-0.245,-0.138,0.858,-0.666
181.000,413.000,0.060,0.121,-0.128,-0.929,-0.903,0.403,0.830,-0.439,1.060,0.012
149.000,190.000,-0.001,0.583,0.376,-0.551,0.693,-0.633,-0.901,0.652,-0.279,0.703
426.000,301.000,0.786,-0.397,-0.737,-0.099,-0.644,0.157,0.698,-0.616,-0.044,0.561
188.000,68.000,-0.303,-0.718,0.584,0.333,0.850,-0.142,0.601,0.606,-0.204,0.426
274.000,22.000,-0.671,-0.545,-0.196,-0.554,0.220,0.717,0.940,-0.807,-0.074,-0.770
230.000,400.000,0.172,-0.055,-0.708,0.841,0.168,0.158,0.812,-0.877,-0.984,-0.583
495.000,183.000,-1.133,0.715,0.316,-0.019,0.725,0.742,-0.738,0.402,1.090,-0.515
54.000,158.000,-0.188,0.670,-0.382,0.742,-0.519,-0.386,0.861,0.106,0.687,-0.519
167.000,465.000,0.103,0.433,-0.022,-0.101,0.514,0.242,-0.464,-0.287,-0.510,0.094
236.000,176.000,-0.427,0.004,-0.522,0.792,0.361,1.098,0.258,-0.531,0.356,-0.537
99.000,99.000,-0.525,-0.967,-0.339,-0.812,0.006,-0.027,0.300,0.200,0.537,0.233
157.000,345.000,0.361,-0.095,-0.217,0.322,-0.482,-0.268,-0.833,-0.471,-1.094,-0.772
412.000,79.000,-0.371,-0.449,0.383,-0.698,-0.011,0.108,0.695,-0.476,-0.439,-0.681
127.000,358.000,0.079,-0.749,-0.575,0.084,0.497,0.652,-0.212,0.113,0.413,1.008
185.000,480.000,-0.297,0.013,-0.059,-0.504,0.784,0.018,0.867,0.024,0.071,0.557
173.000,249.000,0.024,-0.223,0.373,-0.464,-0.475,-0.404,0.339,-0.041,-0.198,-0.329
159.000,287.000,0.277,0.828,-0.127,1.034,0.967,0.784,-0.715,-0.174,-0.319,0.372
149.000,306.000,-0.061,-0.626,0.022,0.746,0.204,1.197,0.264,-0.444,0.109,-0.247
446.000,416.000,-0.666,0.137,0.078,-0.569,0.517,0.377,-0.223,0.586,1.234,0.535
391.000,44.000,0.443,-0.368,0.926,1.050,-0.361,0.184,-0.747,0.165,-0.590,-0.508
185.000,294.000,0.045,0.402,-0.571,-0.876,0.342,0.327,0.265,-0.638,-0.078,0.384
305.000,66.000,0.588,0.083,0.319,0.926,0.161,0.510,-0.694,-0.012,-0.368,0.256
210.000,377.000,0.205,-0.637,-0.546,0.837,0.808,0.101,0.061,-0.265,-1.126,0.251
390.000,342.000,0.329,0.541,0.466,0.721,-0.082,0.260,-0.737,0.349,0.310,0.158
257.000,281.000,-0.562,-0.936,-0.566,0.324,-0.170,0.425,0.576,0.482,0.487,0.293
477.000,170.000,0.049,-0.601,0.696,-0.027,-0.424,0.435,-0.792,0.214,0.239,-0.197
302.000,434.000,1.062,0.896,0.794,0.720,-0.035,-0.830,0.313,0.352,-0.753,0.655
310.000,54.000,-0.375,0.447,-0.936,-0.227,-0.175,-0.782,-0.744,-0.431,-0.857,-1.091
352.000,423.000,0.052,0.908,-0.087,0.682,0.290,-0.591,0.068,0.725,0.482,0.537
425.000,360.000,0.000,1.002,0.033,0.078,0.645,-0.053,-0.400,0.401,0.331,0.640
154.000,248.000,-0.588,0.591,-0.896,-0.643,0.144,0.024,-0.916,-0.497,-0.141,-0.733
362.000,392.000,0.525,0.035,-0.631,0.225,-0.003,0.801,-0.208,-0.888,-0.435,0.096
430.000,290.000,-0.100,-0.710,0.964,0.010,0.514,-0.001,-0.592,0.503,-0.534,0.123
317.000,492.000,-0.036,-0.486,0.577,-0.257,0.027,0.642,0.653,-0.175,0.248,0.074
287.000,478.000,-0.194,0.249,0.279,-0.589,0.454,-0.022,0.404,-0.179,-0.294,0.005
290.000,284.000,0.372,0.574,0.200,0.270,-0.119,-0.136,-0.662,0.513,-0.544,0.582
120.000,446.000,-0.705,-0.732,0.379,-0.868,0.724,0.267,0.410,0.182,0.166,0.189
472.000,379.000,-0.734,-0.199,-0.854,0.657,-0.546,-0.087,0.486,0.148,1.019,-0.829
425.000,335.000,-0.057,0.177,-0.139,0.972,0.485,0.236,0.059,0.262,0.207,0.211
251.000,316.000,0.139,0.177,-0.383,0.361,-0.795,0.006,0.144,0.407,0.364,0.335
308.000,494.000,-0.131,-0.415,-0.134,0.721,0.224,-0.182,-0.702,0.281,-0.445,-0.256
383.000,109.000,0.832,0.948,0.337,0.780,-0.830,0.357,-0.676,-0.366,-0.061,-0.380
110.000,455.000,0.354,-0.543,-0.728,0.904,-0.510,0.470,-0.164,-0.140,0.385,0.117
270.000,295.000,0.172,-0.552,-1.168,-0.027,-0.569,-0.156,-0.012,-0.241,-0.820,0.149
474.000,155.000,0.437,-0.468,0.415,-0.275,0.007,-0.098,-0.576,0.210,-0.412,0.546
179.000,191.000,-0.364,-0.716,-0.796,0.130,0.438,0.683,0.234,-0.676,0.390,0.899
244.000,257.000,-0.179,-0.626,0.623,-0.286,-0.198,0.146,0.417,-0.074,0.650,0.845
143.000,271.000,0.428,-0.501,1.023,0.751,-0.415,0.245,-0.238,0.123,-0.380,-0.346
40.000,288.000,0.492,-0.491,0.070,-0.517,-1.005,-0.385,-0.441,0.468,0.651,0.618
184.000,421.000,-0.286,-0.042,0.889,-0.445,0.085,-0.578,0.584,0.690,0.321,0.180
157.000,158.000,-0.876,-0.870,0.972,-0.344,-0.342,0.609,-0.025,0.211,0.715,-1.020
304.000,53.000,-0.349,0.570,0.641,0.548,0.395,0.629,0.024,0.415,0.896,0.005
110.000,407.000,0.477,0.200,0.677,-0.273,-0.239,0.428,-0.041,-0.671,-0.715,-0.363
407.000,255.000,-0.059,0.353,-0.394,0.668,-0.005,0.138,-0.697,-0.292,-0.388,-0.683
374.000,345.000,0.151,0.902,-0.228,0.008,-0.582,-0.354,0.907,-0.355,0.218,-0.388
72.000,350.000,0.248,0.176,-0.822,0.308,0.252,-0.280,-0.528,0.033,-0.290,0.464
459.000,339.000,0.150,0.617,-0.294,0.756,-0.207,-0.145,0.998,0.048,0.542,0.093
437.000,225.000,-0.215,0.857,0.340,-0.823,0.839,-0.355,0.509,0.307,0.152,0.728
99.000,104.000,0.349,0.188,0.273,1.001,-0.762,0.402,-0.148,-0.008,0.458,-0.433
249.000,140.000,-0.211,-0.557,0.625,-0.550,0.258,1.079,0.208,-0.552,-0.095,-0.271
73.000,422.000,-0.023,-0.338,0.172,-0.224,0.253,0.337,-0.874,0.009,-0.248,0.083
310.000,97.000,0.413,0.033,0.874,0.564,0.058,0.227,-0.013,-0.375,-1.074,-0.534
40.000,190.000,-0.485,0.424,-0.617,0.268,0.435,-0.138,0.135,0.307,0.591,0.140
243.000,62.000,0.629,-0.227,0.108,0.941,-0.439,-0.436,0.496,-0.281,-1.017,-0.402
331.000,487.000,1.044,0.193,0.611,-0.917,-0.676,0.866,-0.765,-0.498,0.173,0.741
472.000,194.000,0.289,-0.233,-0.201,0.634,-0.459,-0.249,-0.530,0.714,0.713,0.548
66.000,420.000,0.496,-0.655,0.642,-0.303,-0.672,-0.741,1.026,0.606,0.338,0.760
319.000,104.000,-0.380,-0.815,-0.888,-0.474,-0.579,0.973,0.041,-0.572,-0.043,-0.303
277.000,37.000,0.679,0.714,0.872,0.723,0.178,-0.110,-0.520,0.213,-0.636,0.221
100.000,345.000,-0.227,0.652,0.740,0.753,0.583,0.114,0.688,0.326,0.186,-0.101
209.000,331.000,-0.167,-0.067,-0.718,0.178,-0.213,-0.719,-0.544,0.568,0.366,0.166
435.000,428.000,0.252,-0.671,0.193,-0.339,0.173,-0.884,-0.313,0.455,-0.826,0.520
465.000,279.000,-0.082,-0.654,0.247,-0.219,-0.062,0.191,0.525,0.137,0.349,0.248
150.000,160.000,0.842,0.747,0.484,0.954,-1.008,-0.330,-0.868,0.206,0.669,0.956
213.000,463.000,0.550,0.227,-0.535,0.296,-0.383,0.797,-0.217,-0.692,0.126,0.092
128.000,403.000,-0.237,-0.464,-0.227,0.232,0.629,-0.019,1.082,-0.111,-0.335,0.141
369.000,41.000,0.370,-0.450,-0.138,-0.865,-0.519,0.333,0.622,-0.532,0.180,0.363
308.000,455.000,-0.210,-0.579,-0.517,0.796,0.326,0.588,0.864,-0.203,0.250,0.022
324.000,320.000,-0.046,-0.825,-0.883,0.090,0.404,0.093,-0.173,-0.194,-0.443,0.304
323.000,173.000,0.238,0.706,-0.149,-1.165,-0.517,-0.135,-0.251,-0.244,-0.604,0.263
308.000,226.000,0.454,0.044,0.151,-0.624,-0.231,-0.179,0.887,-0.104,0.128,0.690
273.000,1.000,0.078,-0.785,-0.407,-0.627,-0.889,0.040,-0.109,0.084,0.811,0.263
89.000,90.000,0.816,0.035,0.597,-0.466,-0.239,-0.593,-0.231,0.093,-0.770,0.597
387.000,140.000,-0.795,-0.767,0.065,-0.006,-0.337,-0.374,0.048,0.607,0.645,-0.607
376.000,301.000,-0.359,-0.998,-0.776,-0.861,0.074,-0.208,0.824,-0.279,-0.090,0.158
419.000,268.000,-0.216,-0.914,-0.065,-0.873,-0.425,0.392,0.400,-0.380,0.262,-0.192
72.000,187.000,0.001,0.152,-0.718,0.836,-0.049,0.156,0.492,0.099,0.697,0.239
4.000,291.000,0.154,-0.443,-0.448,0.202,-0.638,-0.607,1.011,0.081,0.209,0.051
141.000,295.000,-0.368,0.767,-0.696,-0.403,-0.053,0.096,-0.202,-0.314,0.451,-0.334
362.000,230.000,0.083,0.236,-0.070,-0.369,0.029,0.270,-0.715,-0.479,-0.502,-0.311
147.000,358.000,-0.166,-0.640,-1.090,-1.060,-0.078,-0.473,-0.122,-0.046,0.073,0.508
338.000,285.000,-0.130,0.600,0.428,-0.730,0.083,-1.090,0.986,0.351,-0.090,0.171
429.000,283.000,0.025,0.785,0.509,0.370,0.314,0.485,-0.502,-0.297,-0.381,-0.506
436.000,423.000,0.171,0.757,-0.716,0.652,-0.568,-0.414,0.628,0.066,0.685,-0.008
324.000,68.000,0.222,0.982,0.242,-0.837,-0.510,-0.959,-0.096,-0.104,-0.426,-0.314
113.000,200.000,-0.033,0.510,0.361,0.418,-0.056,0.437,0.251,-0.300,0.051,-0.552
284.000,336.000,0.092,0.002,-0.829,-0.088,0.378,0.311,0.004,-0.002,0.494,0.915
121.000,75.000,-0.419,0.865,-0.693,-0.158,0.721,-0.564,-0.302,0.250,-0.002,0.215
442.000,225.000,0.015,0.497,-0.561,-0.336,-0.990,-0.371,-0.540,0.164,0.925,-0.146
120.000,399.000,-0.486,-0.112,0.987,0.381,0.019,-0.665,-0.540,0.602,-0.532,-0.997
148.000,226.000,0.400,-0.278,0.044,-0.284,0.070,0.318,-0.299,0.400,0.666,1.236
10.000,205.000,-0.491,0.807,-0.236,0.727,0.995,-0.397,-0.813,0.313,-0.589,-0.374
459.000,157.000,0.436,0.935,0.630,0.646,0.451,0.570,-0.231,0.000,-0.013,0.361
380.000,439.000,0.612,0.012,0.369,0.509,-0.629,0.397,0.310,0.045,0.572,0.345
397.000,142.000,0.137,0.792,-0.595,0.838,-0.631,-0.466,-0.346,-0.205,-0.180,-0.840
92.000,243.000,0.855,-0.041,0.700,0.078,-0.695,-0.709,-0.229,0.011,-0.960,-0.065
69.000,272.000,0.412,-0.838,0.346,-0.658,-0.039,0.940,0.805,-0.216,0.592,1.051
246.000,395.000,-0.707,0.855,-0.700,0.374,1.127,-0.137,-0.767,-0.013,-0.471,-0.433
